Title,Skills,budget,experience_level,rate_type,duration,description
NLP in Spanish language,"['Natural Language Processing', 'Python', 'Spanish']",-,Intermediate,Hourly: $10-$25,Less than 30 hrs/week,"We have thousands of comments in Spanish from a Survey's open ended question. We need:
1) Identify common topics (using topic modeling),
2) Identify positive/negative statements (sentiment analysis) for each topic,
3) Write results for a scientific document including methods, results, tables/figures and references following APA style,
4) Use results to produce a graph showing the main topics and sentiment of new set of surveys.  "
NLP - Build a transaction classification system,"['Machine Learning', 'Natural Language Processing', 'NLTK', 'Python', 'Data Science', 'Artificial Intelligence', 'Deep Learning']",-,Expert,Hourly,Less than 30 hrs/week,"We are looking to build a transaction classification system. The input data format: has the name of the place where the transaction happened/transaction description, and amount.

we have to identify categories for every transaction and they are user-defined which could be different from user to user, ranging up to 100 labels, with a potential hierarchical structure. 

We also have a historic dataset with labelled samples from thousands of users, we are determined to streamline this process.
"
A dashboard to calculate option pricing specific on Python,"['Dashboard', 'Python', 'Option pricing']","
        $100
      ",Intermediate,Fixed-price,-,"I have a file saved as a data frame here, and I attached the sample of such datafile.

 ""df=pd.read_csv(r""C:\Users\datafile.csv"")"". 

It contains 3 columns.  

1st column is data range present in the format of ""2022/04/11 - 2022/04/17"", in weekly format. 

2nd and 3rd column contain the price for small unit price and big unit price.

I want to create a dashboard that can be host on local server to show detail option pricing, with date of calculation, expiration date, strike price, interest rate and current price as a input, ideally with a dropdown list:

1. the expected pay out curve of a call and put option
2. the option chain for different expiration date, strike price
- it should show all the greeks, breakeven price, and probability of profit

For first time user opening this app, the input can be assumed to be as follow: 
date of calculation is today
expiration date is 2 years from now, 
strike price is -10% from current price, 
Interest rate is 5% 
current price is the latest 2nd column price"
Seeking AI/ML/LLM Expert for Stock Exchange Product Development,"['Machine Learning', 'Artificial Intelligence', 'Data Science', 'Python', 'Deep Learning']",-,Expert,Hourly: $32-$100,Less than 30 hrs/week,"Description:

We are a dynamic team working on developing a cutting-edge Stock Exchange product that leverages Artificial Intelligence (AI), Machine Learning (ML), and Large Language Models (LLM) to revolutionize the trading experience. We are seeking a talented and experienced individual with a deep understanding of these technologies to join us on a freelance basis and contribute to our project.

Responsibilities:

Research, design, and implement AI algorithms for predicting stock market trends.
Develop ML models to analyze market data and optimize trading strategies.
Utilize LLM techniques for natural language processing tasks such as sentiment analysis and report generation.
Collaborate with our team to integrate AI/ML/LLM solutions into our Stock Exchange platform.
Continuously optimize and improve the performance of AI-driven features.
Requirements:

3 to 8 years of proven experience in AI, ML, and/or LLM technologies.
Strong expertise in programming languages such as Python, Java, or R.
Experience working with financial data and understanding of stock market dynamics.
Ability to work independently and as part of a collaborative team.
Excellent communication skills and attention to detail.
Bonus Skills:

Experience with cloud platforms such as AWS, Azure, or Google Cloud.
Knowledge of data visualization tools like Tableau or Power BI.
Familiarity with agile development methodologies.
If you are passionate about leveraging AI/ML/LLM technologies to drive innovation in the financial sector and are looking for an exciting freelance opportunity, we would love to hear from you. Please include examples of your previous work and a brief overview of your relevant experience in your proposal."
AI/ML Expert for Building Stock exchange,"['gen AI', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Data Science', 'LLM Prompt Engineering', 'Deep Learning']",-,Expert,Hourly: $15-$100,Less than 30 hrs/week,"
As a part of building a Stock Exchange product, expertise in various technologies like Artificial Intelligence (AI), Machine Learning (ML), and Large Language Models (LLM) can be invaluable. Here's a breakdown of roles and responsibilities in simple terms:

AI (Artificial Intelligence):

Role: Developing algorithms that mimic human intelligence to make predictions and decisions.
Responsibilities: Analyzing market data to identify trends, creating predictive models for stock prices, and automating tasks like data processing and risk assessment.
ML (Machine Learning):

Role: Building systems that learn from data and improve over time without being explicitly programmed.
Responsibilities: Training algorithms to recognize patterns in stock market behavior, developing recommendation systems for traders, and optimizing trading strategies based on historical data.
LLM (Large Language Models):

Role: Leveraging advanced natural language processing (NLP) techniques for understanding and generating human-like text.
Responsibilities: Developing chatbots or virtual assistants for customer support, analyzing textual data from news and social media for market sentiment analysis, and generating reports or summaries using NLP algorithms.
Overall, individuals with 3 to 8 years of experience in these areas would typically be involved in researching, designing, implementing, and optimizing AI, ML, and LLM solutions specifically tailored for stock exchange platforms."
Looking for AI  and LLM Software development partner,"['Artificial Intelligence', 'Python', 'Machine Learning']","
        $50,000
      ",Expert,Fixed-price,-,"We're seeking a passionate AI Software Solutions Developer to join our team and shape the future of software building. You'll be instrumental in developing and implementing AI-powered solutions to streamline processes, improve efficiency, and create next-generation software applications.

Responsibilities:

Design, develop, and integrate AI components into software applications.
Utilize machine learning techniques for tasks like code generation, bug detection, and performance optimization.
Work closely with software engineers and data scientists to ensure seamless integration of AI solutions.
Stay up-to-date on the latest advancements in AI and machine learning.
Develop and maintain well-documented, clean, and efficient code.
Test and debug AI models to ensure accuracy and reliability.
"
Real Estate model price prediction,"['Financial Modeling', 'Python', 'Data Science', 'Data Analysis', 'TensorFlow', 'Machine Learning', 'Neural Network', 'Deep Learning', 'Python Scikit-Learn', 'Artificial Neural Network']",-,Intermediate,Hourly: $17-$25,Less than 30 hrs/week,Looking for analyst to predict real estate prices in Chile using ML models. 
Custom GPT Training & Site Development,"['Chatbot Integration', 'Chatbot Development', 'Chatbot Training', 'AI Chatbot', 'Chatbot Tuning', 'Web API', 'Web Development', 'Python', 'HTML', 'Machine Learning']",-,Expert,Hourly,Less than 30 hrs/week,"We are looking for a skilled developer with experience in creating custom language models like LLM/GPT and web development. The goal of this project is to create a series of GPT personas based on our defined topics. We are interested in generating an array of unique AI-driven personas with distinct characteristics and personalities.

In addition to creating the GPT models, we also require the development of an interactive website where users can interact with these personas. This may include conversational interactions, task assignments like taking a survey, and more.

Responsibilities:

- Develop custom GPT models/personas based on specific topics and characteristics provided.
- Design and build an interactive website where users can interact with these AI personas.
- Implement features on the website for task assignment to the AI personas, like taking a survey.
- Test the models and website to ensure functionality and user-friendliness.
- Fix any bugs or issues found during testing.

Requirements:

1. Proven experience in machine learning, specifically with language models like GPT or LLM.
2. Strong web development skills, including experience with interactive web design.
3. Knowledge of AI programming languages such as Python, and familiarity with AI API frameworks and libraries.
4. Excellent problem-solving abilities and attention to detail.
5. Strong communication skills and ability to understand and implement specific, defined topics into GPT models.
6. A portfolio of previous work that demonstrates the required skills.

How to Apply:

To apply, please submit your resume, a brief cover letter detailing your experience with GPT models and web development, and a portfolio demonstrating your previous work. In your cover letter, please also include an estimation of how long you expect this project to take, your availability over the next few months, and your rate.

We look forward to receiving your application."
Sagemaker aws pytorch lightning with SagemakerExperimentsLogger,"['PyTorch', 'Amazon Web Services', 'Machine Learning', 'Deep Learning']","
        $40
      ",Entry level,Fixed-price,-,"Need 1h30 session to resolve my issues around training my model on sagemaker with pytorch lightning on aws. 
Currently using SagemakerExperimentsLogger.

Getting some issues around loging (seing model losses ...)
getting the model endpoint to use for predictions ..."
CNN Training Project,"['Neural Network', 'Machine Learning', 'TensorFlow', 'Deep Learning', 'Python']","
        $50
      ",Entry level,Fixed-price,-,I need help with a python project regarding CNN training to do vision-based driving . I have uploaded more detailed instructions and can provide starter code when messaged . Can send more details as needed
Foot Traffic Data Analytics From Mobile Data,"['Marketing Analytics', 'Report', 'Business Intelligence', 'Data Analytics', 'Data Analysis', 'Data Visualization', 'Data Science']",-,Expert,Hourly: $40-$75,30+ hrs/week,"We are seeking an analytical and detail-oriented professional with a passion for harnessing data to address critical business inquiries. The role entails analyzing diverse data sets, including but not limited to, geographical data, foot traffic analytics, and marketing insights. Responsibilities encompass:

Analyzing foot traffic patterns at our headquarters to unearth trends on a daily, weekly, and monthly basis.
Determining the employee-to-visitor ratio within our facilities.
Benchmarking the foot traffic at our headquarters against that of nearby competitors.
Identifying areas within our headquarters that see peak activity at different times of the day.
Reviewing device count data at our and our clients' headquarters over the past year to detect trends.
Investigating commuting trends to our headquarters, pinpointing origin cities, states, and countries.
Calculating the duration spent by both employees and visitors on our premises.
Monitoring our employees' post-work destinations, including eateries, gyms, coffee shops, customer locations, and other interests.
Examining the visitation trends of employees from our top 5 dealers to our headquarters.
Fostering an environment that welcomes innovative ideas and best practices to enhance our data-driven decision-making process.
The ideal candidate should have direct access to the necessary data and a background in competitive intelligence. This position is ideal for individuals who are enthusiastic about data analysis and its real-world application to drive strategic business decisions, with a profound understanding of competitive landscapes and the capacity to independently collect and analyze pertinent data.

Candidates should confirm their ability to undertake this project, including having access to actual foot traffic data from sources like Foursquare, Placer.ai, or others. The final deliverable must encompass RAW data, including latitude and longitude coordinates for mapping some of the findings.

IF YOU DO NOT HAVE ACCESS TO FOOT TRAFFIC DATA DO NO APPLY! "
Predictive Analytics,"['Python', 'PyTorch']",-,Expert,Hourly: $32-$70,30+ hrs/week,"We're currently working to collect a large dataset of information for a particular sport to display in our app as well as allow us to start predicting future outcomes based on the data.

The sport we're starting at is a one-person sport, meaning there are two players. We want to predict who will win and the likely outcome based on the player's past games, as well as looking at and comparing past games for the opponent.

We wish to bring in more data points than just the standard stastics, to help surface anomalies. 

We're looking for an expert in machine learning predictions to help us analyze the data and build a complex model set that, over time, continues to improve outcomes accuracy.

"
AI caller specialist / Machine Learning,['Python'],-,Intermediate,Hourly,Less than 30 hrs/week,"Hey Upworkers,

We are looking for an AI specialist who could set up an AI calling system to do market research.

We are looking for an out of the box solutions such as Air or similar apps or Open Source code.

Please respond with recordings of how systems you setup work or sound.

Thank you"
Quantitative Developer,"['Python', 'Machine Learning', 'C++', 'Statistics', 'Finance', 'Cryptocurrency']","
        $1,000
      ",Expert,Fixed-price,-,"Quantitative Developer


Company Description:
We are an AI-driven cryptocurrency fund committed to delivering exceptional returns through advanced trading strategies. Our team specializes in the development and execution of day trading strategies in the volatile crypto market, leveraging cutting-edge technology and data analysis.

Job Description:
We are seeking a talented Quantitative Developer to join our team. The successful candidate will play a crucial role in developing sophisticated day trading strategies for cryptocurrencies and building the infrastructure for backtesting and conducting experiments. This role combines elements of data science, algorithm development, and financial analysis.

Key Responsibilities:

Design, develop, and implement quantitative models for trading cryptocurrencies.
Build and maintain the infrastructure for backtesting trading strategies, including data collection, simulation, and analysis tools.
Collaborate with the research team to conduct experiments and refine trading algorithms based on backtesting results and market analysis.
Optimize trading algorithms for performance, including latency, throughput, and scalability.
Work closely with the trading team to integrate quantitative models into the production trading environment.
Ensure compliance with regulatory requirements and maintain high standards of risk management.
Requirements:

Bachelor’s or Master’s degree in Computer Science, Mathematics, Engineering, or a related quantitative field.
Proven experience in quantitative development, preferably in the financial or cryptocurrency sector.
Strong programming skills in languages such as Python, C++, or Java.
Experience with data analysis and statistical modeling tools and techniques.
Knowledge of machine learning algorithms and their application in financial markets.
Familiarity with cryptocurrency markets and trading principles.
Excellent problem-solving skills and ability to work in a fast-paced, dynamic environment.
Strong communication skills and ability to collaborate effectively with cross-functional teams.
Preferred Qualifications:

Experience with blockchain technology and smart contracts.
Previous experience in a trading environment, especially with cryptocurrencies.
Knowledge of high-frequency trading algorithms and infrastructure.
What We Offer:

An opportunity to work with a leading AI crypto fund at the forefront of financial technology.
A dynamic and challenging environment with the potential for significant professional growth.
Competitive salary and benefits package.
Flexible working conditions, with remote work options.
How to Apply:
Interested candidates should submit a resume and a cover letter explaining their interest in the role and how their experience aligns with the job responsibilities and requirements."
Python Developer,"['Python', 'API', 'Python Script', 'RESTful API']",-,Intermediate,Hourly: $35-$45,Less than 30 hrs/week,"We're currently seeking Python developers to collaborate on cutting-edge projects. The ideal candidate will have a strong background in Python programming and experience in developing innovative software solutions. They should be proficient in using various Python libraries and frameworks, such as NumPy, Pandas, and Flask. Additionally, the candidate should have a solid understanding of data structures, algorithms, and object-oriented programming. Good communication skills and the ability to work independently are also essential."
AI Consultant for Wealth Management ,"['Strategy', 'Wealth Management', 'ChatGPT', 'Artificial Intelligence']",-,Expert,Hourly: $30-$100,Less than 30 hrs/week,"🚀 Seeking AI Expert for Wealth Management Team 🚀

Are you an AI whiz with a passion for revolutionizing wealth management? Look no further! Our forward-thinking team is on the hunt for a talented individual to join us on Upwork as we harness the power of artificial intelligence across all aspects of our business.

Expectations and Deliverables:
- Collaborate with our team to identify areas where AI can optimize processes, enhance decision-making, and drive growth in our wealth management services.
- Develop and implement AI-driven solutions tailored to our specific needs, whether it's predictive analytics for investment strategies or automated client interactions.
- Regularly analyze performance metrics and adjust AI models as needed to ensure optimal outcomes for our clients.

Skills Required:
- Proven expertise in artificial intelligence, machine learning, and data science, with a track record of successful projects in the financial sector..
- Deep understanding of financial markets, investment strategies, and regulatory compliance to effectively apply AI solutions in a wealth management context.

Good Communication:
- Clear and concise communication is essential for our collaborative efforts. We value transparency, active listening, and timely updates to keep everyone aligned on project goals and progress.

If you're ready to join us on the cutting edge of AI-powered wealth management, we want to hear from you! Submit your proposal detailing your relevant experience, approach to collaboration, and why you're the perfect fit for our team. Let's shape the future of finance together."
Econometrics R Task,"['R', 'Econometrics', 'Statistics', 'Data Analysis', 'Quantitative Analysis', 'Data Science']","
        $120
      ",Expert,Fixed-price,-,"I need help with an econometrics R task. The task will need to be completed by 6 am NYC time. I will attach the task instructions and the required data sets. You must submit your R script (File ending with .R with the codes) and a pdf document with your answers. You should include your graphs (if any) in a report format file, but do not copy and paste codes into the final report [We will NOT consider any coding information in the final report where you add your tables and figures as well as related descriptions and we will NOT grade your Tables and Figures without an R script].
"
Nft data analyist ,"['Crypto Wallet', 'NFT', 'NFT Marketing']",-,Entry level,Hourly: $55-$70,Less than 30 hrs/week,"We are currently looking for a skilled NFT data analyst to join our team. As the NFT market continues to grow, we need someone who can analyze data trends, identify potential opportunities, and help shape our strategy moving forward.

Responsibilities:

Analyzing NFT market data and trends to identify key insights
Collaborating with cross-functional teams to develop data-driven strategies
Monitoring the performance of NFT assets and making recommendations for optimization
Developing reports and presentations to communicate findings to stakeholders
Requirements:

Bachelor's degree in data science, statistics, economics, or a related field
2+ years of experience in data analysis, preferably in the NFT or blockchain industry
Proficiency in data analysis tools such as Excel, SQL, and Python
Strong communication and presentation skills
Knowledge of NFT market dynamics and trends
If you meet the requirements and are passionate about the NFT space, we would love to hear from you. Please submit your resume and a cover letter detailing your relevant experience and why you would be a great fit for this role."
AI Language Model Developer,"['Artificial Intelligence', 'Natural Language Processing', 'Artificial Neural Network', 'Deep Learning', 'Machine Learning', 'Python', 'Neural Network', 'TensorFlow', 'Keras', 'Computer Vision']","
        $10,000
      ",Expert,Fixed-price,-,"We're pioneering the fusion of artificial intelligence with everyday solutions. Our current initiative is focused on developing a cutting-edge web platform, powered by AI, to dynamically create text content tailored to user specifications. This project aims to redefine interactions with AI technology, enhancing its accessibility and utility in interpreting and generating content, with a particular emphasis on facilitating seamless communication."
Program for Text and Image Search,"['Python', 'Data Entry', 'Java', 'JavaScript', 'PHP']",-,Intermediate,Hourly,Less than 30 hrs/week,"We are seeking a skilled programmer to develop a program that can perform text and image search. The program should be able to search for text or image inputs using programming languages such as C++, Python, JavaScript, or any other relevant language. The program should be efficient, accurate, and user-friendly. This project requires the following skills:

- Proficiency in C++, Python, JavaScript, or any other relevant programming language
- Strong understanding of text and image search algorithms
- Knowledge of data structures
- Ability to develop an intuitive user interface
- Good problem-solving skills
- Attention to detail
- Excellent communication skills"
AI/web scraper of web information,"['Data Labeling', 'Data Segmentation', 'Data Annotation', 'Python', 'Data Scraping', 'Web Crawling', 'Data Extraction']",-,Expert,Hourly: $30-$70,Less than 30 hrs/week,"Short description:
I have a long list of companies + their url in Airtable.

I would like to build a script or automation to look up / extract specific data from the websites in order to categorize them in my list.

Starting with: look up which country is stated as their office address on their website.

Then, identify whether the company sells software, hardware or both.

Then whether a range of different key words are mentioned on the website. I have a list of such key words.

I have ca 4000 records on the list. And would like to be able to update the list of keywords in future and run the script or automation when needed, and then update in Airtable."
Gorilla Platform Experiment Designer,"['Web Design', 'Graphic Design', 'Adobe Photoshop', 'Web Development', 'Adobe Illustrator']","
        $100
      ",Intermediate,Fixed-price,-,"We are looking for a skilled individual who can design experiments using the Gorilla Platform. The ideal candidate should have experience in experimental design along with a solid understanding of the Gorilla Platform. The main responsibilities will include designing experiments, setting up tasks and stimuli, and implementing customizations and tweaks on the Gorilla Platform. The candidate should also have good knowledge of statistics and be able to analyze data gathered from experiments. Excellent communication skills and attention to detail are a must. The ability to work independently and meet deadlines is also crucial."
Research Study on Using AI to Support Learning,"['Online Research', 'Topic Research', 'Research Methods', 'Information Literacy', 'AI Fact-Checking', 'Writing', 'Academic Writing']","
        $25
      ",Expert,Fixed-price,-,"We are running a research study to understand how we can use AI to support learning. We  are looking for people with experience using AI tools (e.g., ChatGPT) to learn about various topics.

Our study will involve your (1) joining a zoom meeting, (2) using our tool, (3) and sharing your experience.

To participate:
(1) You must have experience using AI tools (e.g., ChatGPT) to learn about various topics. 
(2) You will need a quiet place with a stable internet connection to participate in the study for an uninterrupted 60 minutes.
(3) You will need to turn on your mic during the study.
(4) You must consent to your audio and video being recorded in order to participate.

The whole study will take no more than 90 minutes with a reward of $25 USD (via Upwork). The study will be conducted using ZOOM or MS Teams.

To express interest, please complete our brief Google form: https://forms.gle/KdjUEdemtUSU2mBm8. It should only take a few minutes to complete. 

You can see the attached consent form for any further details."
Data Analyst,"['SQL', 'Data Visualization', 'Python', 'Data Analysis', 'Microsoft Excel', 'R', 'Data Cleaning']",-,Intermediate,Hourly,Less than 30 hrs/week,"As a Data Analyst, you will play a critical role in ensuring the accuracy, consistency, and reliability of our organization’s data. You’ll collaborate with cross-functional teams, including data scientists, analysts, and software engineers, to develop and implement data quality processes, standards, and best practices. Your work will directly impact decision-making, product development, and customer experiences.

Responsibilities:
•	Data Profiling and Assessment:
     o	Analyze data sources to identify anomalies, inconsistencies, and data quality issues.
     o	Develop and maintain data quality metrics and scorecards.
•	Data Validation and Cleansing:
     o	Design and execute data validation scripts and automated tests.
     o	Cleanse and transform data using tools and techniques such as SQL, Python, R, or ETL processes.
•	Quality Assurance and Monitoring:
     o	Establish data quality rules and thresholds.
     o	Monitor data pipelines and proactively address issues.
     o	Investigate and resolve data discrepancies.
•	Collaboration and Communication:
     o	Work closely with data engineers, data scientists, and business stakeholders to define data quality requirements.
     o	Communicate findings and recommendations to technical and non-technical audiences.
•	Process Improvement:
     o	Continuously enhance data quality processes and workflows.
     o	Propose and implement improvements to prevent data quality issues.

Qualifications:
•	Bachelor’s degree in Computer Science, Information Systems, or related experience.
•	Proven experience in data quality assessment, validation, and cleansing.
•	Proficiency in SQL, Python, R, or other relevant programming languages.
•	Familiarity with data governance principles and best practices.
•	Strong analytical skills and attention to detail.
•	Excellent communication and collaboration abilities.

Bonus Skills:
•	Experience with data profiling tools (e.g., Talend, Informatica, Trifacta).
•	Knowledge of big data technologies (Databricks, Snowflake, Hadoop, Spark, etc.).
•	Certification in data management or quality (e.g., DAMA CDMP, IQCP)."
 Azure Data Engineer,"['Microsoft SQL Server', 'SQL', 'Microsoft Power BI Data Visualization', 'Business Intelligence', 'Microsoft Power BI', 'SQL Server Integration Services', 'Microsoft SQL Server Reporting Services', 'Data Migration', 'Data Visualization', 'Database Programming', 'Query Tuning', 'Microsoft SQL Server Programming', 'ETL', 'Data Warehousing & ETL Software', 'Microsoft SQL SSAS']",-,Intermediate,Hourly,Less than 30 hrs/week,"To join the Data team working on the data platform supporting Marketing Analytics.
Role: Azure Data Engineer with Databricks/PySpark
Location: Remote

Primary Tech skills AZURE ,Databricks, ADF, PySpark, SQL
Secondary Tech skills Pyspark, Synapse"
Python Dashboard Builder,"['Tableau', 'Python', 'JavaScript', 'HTML', 'Data Analysis']","
        $50
      ",Intermediate,Fixed-price,-,"I need help building two dashboards using python. I will provide the data and also I have a tableau version of the dashboards created and I will provide those as well. This should be simple, not too complicated. "
Data analyst,"['Data Analysis', 'Microsoft Excel', 'Business Intelligence', 'Market Analysis', 'Data Visualization']",-,Entry level,Hourly: $13-$30,Less than 30 hrs/week,"Looking for a data analyst for an outdoor/billboard. company to analyze unique traffic by route compared to the competition.

We want to proof that our company is the industry leader in reach and coverage.

We will be counting only one direction and only one billboard per location. We will explain further. "
Machine Learning Specialist ,"['Machine Learning', 'Python', 'Data Science', 'TensorFlow', 'R']",-,Expert,Hourly: $15-$20,30+ hrs/week,I'm looking for a skilled freelancer to develop a custom tool that enables users to create personalized images by merging elements from multiple photographs. 
AI Developer Specializing in Computer Vision and Image Manipulation,"['Computer Vision', 'Artificial Intelligence', 'Neural Network', 'Image Processing']",-,Expert,Hourly: $32-$70,30+ hrs/week,"We are seeking an experienced AI Developer with a strong background in computer vision and image manipulation to join our project. The candidate will work on developing innovative AI models capable of analyzing and transforming images in sophisticated ways. This role involves tackling challenging problems in image processing and machine learning, with a focus on altering perspectives within images to achieve realistic and dynamic results.


Certainly! Here's a general task description that focuses on the skills and technical challenges involved, suitable for finding a qualified developer without revealing specific details of your project:

Job Title: AI Developer Specializing in Computer Vision and Image Manipulation
Job Description:
We are seeking an experienced AI Developer with a strong background in computer vision and image manipulation to join our project. The candidate will work on developing innovative AI models capable of analyzing and transforming images in sophisticated ways. This role involves tackling challenging problems in image processing and machine learning, with a focus on altering perspectives within images to achieve realistic and dynamic results.

Responsibilities:
- Develop and implement AI models focused on computer vision tasks, particularly in manipulating and altering image perspectives.
- Collaborate with the team to identify technical challenges and innovative solutions in image manipulation.
- Optimize algorithms for efficiency, scalability, and performance.
- Conduct research and stay updated on the latest advancements in  AI, computer vision, and image processing technologies.
- Work closely with the data collection team to curate and preprocess datasets to train and test the models effectively.
- Engage in iterative testing and refinement of models based on project objectives.

Required Skills and Qualifications:
- Proficiency in Python and experience with AI and machine learning frameworks (e.g., TensorFlow, PyTorch).
- Strong foundation in computer vision techniques and algorithms.
- Experience with image processing and manipulation algorithms.
- Ability to work with large datasets and optimize AI models for performance.
- Creative problem-solving skills and a passion for innovation in AI.
- Excellent communication and collaboration abilities.
- Bachelor's or higher degree in Computer Science, Artificial Intelligence, or a related field.

Desired Skills (Not Mandatory):
- Experience with 3D modeling and rendering.
- Familiarity with parallel computing and GPU optimization.
- Publications or contributions to relevant AI and computer vision research.
"
Project Manager,"['Google Workspace', 'Team Management', 'Communications', 'Microsoft Excel']",-,Intermediate,Hourly: $5-$10,30+ hrs/week,"Overview
We are seeking a highly organized and client-focused Squad Leader / project manager to join our dynamic team. This role is critical in managing client portfolios, driving the job application support process from start to finish, and ensuring client satisfaction through effective communication and process management. 

Key Responsibilities
Manage client portfolios, ensuring timely communication and adherence to process timelines.
Utilize GPT-3 and other AI tools to draft and refine job search criteria based on client input.
Collect job listing samples and refine search criteria through iterative client feedback.
Oversee the automated scraping of job listings and compile them into a structured application tracker.
Ensure the quality of job listings through regular checks and adjustments based on client feedback.
Coordinate with Application Analysts to execute job applications, monitor progress, and report back to clients.
Continuously refine and improve processes based on client feedback and internal reviews.

To recognize and reward outstanding performance, we offer quarterly cash bonuses for achievementon the following achievements

Client Satisfaction Bonus: 
Achieve an average client satisfaction score above  90%.
Retention Rate Incentive: For maintaining client retention rates above 90%
Success Rate Reward: Squad Leaders whose clients achieve a  4%+ in landing interviews or offers.
Efficiency and Revenue Growth Bonus: Exceeding operational efficiency targets and demonstrating significant client revenue growth


Skills and Proficiencies
Technical Skills: Proficiency with job scraping tools (e.g., Bardeen), basic understanding of AI tools like GPT-3 for content generation, and familiarity with spreadsheet management.
Communication: Excellent written and verbal communication skills, with the ability to convey complex processes in simple terms and manage client expectations effectively.
Organizational Skills: Strong organizational and time management skills, with the ability to manage multiple client portfolios and adhere to tight deadlines.
Problem-Solving: Ability to quickly adapt and solve problems as they arise, especially when incorporating client feedback into search criteria and job listings.
Attention to Detail: High attention to detail, ensuring that all job listings meet the approved criteria and client expectations.

Negative Behaviors and Attributes
Lack of Proactivity: Failing to anticipate client needs or address potential issues before they escalate.
Poor Communication: Inconsistent or unclear communication with clients and team members.
Resistance to Feedback: Unwillingness to adjust processes or criteria based on client or internal feedback.
Inability to Meet Deadlines: Consistently missing deadlines for client communications, job sample delivery, or final tracker approvals.
Low Quality of Work: Repeated errors in job listings, failure to accurately implement search criteria, or overlooking client specifications.

Key Performance Indicators (KPIs):
Your performance will be evaluated based on the following KPIs:
Client Satisfaction and Retention
Client Success Rate
Operational Efficiency
Team Management and Development

Areas of Concern:
Persistent low client satisfaction scores, declining application volumes, and high Analyst turnover rates are indicators of performance issues and may lead to a reassessment of your role."
Seeking for machine learning research paper collaborators,"['Machine Learning', 'Knowledge Graph', 'Academic Research', 'Python']",-,Entry level,Hourly,Less than 30 hrs/week,"Seeking co-authors with a strong foundation in Machine Learning and Python. Together, we'll explore promising ideas primed for research papers, complete with detailed implementation steps. While the concepts are well-defined, I value independent developers with a knack for critical thinking. If you're proficient in Machine Learning and Python and eager to collaborate on innovative projects, let's team up to make significant contributions in our field."
AI Swim Metrics via Computer Vision and YOLO,"['YOLO', 'Computer Vision', 'OpenCV', 'Python', 'PyTorch', 'TensorFlow', 'Artificial Intelligence', 'Object Detection', 'Face Recognition']",-,Expert,Hourly: $30-$71,Less than 30 hrs/week,"I'm looking for a skilled professional experienced in developing AI-driven camera systems specifically designed for swimming analytics.
 
The primary focus will be on:
- Object detection: Able to accurately detect swimmers in the pool
- Facial Recognition: Can identify individual swimmers
- Image Classification: Can distinguish between different types of swimming strokes

The system should be capable of measuring and analyzing a wide array of metrics such as stroke count, lap times, swim speeds, reaction times, breakout distances, turn indexes and notably count breaths per lap.

I look forward to working with freelancers who are proficient in computer vision, image classification, facial recognition and have a strong background in creating artificial intelligence systems. 

Your ability to apply these skills specifically to a sporting context will be of great advantage."
AI/ML Expert for Launching AI-Powered Recommendation System,"['Artificial Intelligence', 'Machine Learning', 'TensorFlow', 'Deep Learning', 'Natural Language Processing']",-,Expert,Hourly: $32-$70,Less than 30 hrs/week,"We are seeking an AI/ML expert to assist us in launching an AI-powered recommendation system for Decathlon, a leading European sport retailer. The successful candidate will be responsible for implementing AI/ML algorithms and techniques to analyze customer data and generate personalized recommendations. Key skills required for this role include:

- AI and machine learning
- Algorithm development
- Data analysis and modeling
- Recommendation systems
- Experience working with customer data

This is a medium-sized project with an estimated duration of 3 to 6 months. We are looking for an expert in the field who can immediately contribute to the success of this initiative."
Data Analysis and Report ,"['Data Analysis', 'Microsoft Excel', 'Statistics', 'Data Visualization', 'Quantitative Analysis', 'R', 'IBM SPSS', 'Business Intelligence']","
        $20
      ",Expert,Fixed-price,-,"Hi, I need help with data visualization and report writing for a small dataset. It's an urgent work so need an expert as soon as possible. 

I will share it to selected people. "
